record_id,age_years,income_value,tenure_months,monthly_spend,purchase_rate,order_value,promo_usage_rate,return_rate,browse_minutes,support_contacts,payment_channel,market_area
R49832,35,0.0,1,93.01,0.11,163.33,0.27,0.4,20.47,0,Channel_C,Area_B
R31183,26,48932.51,72,327.18,8.9,0.0,0.11,0.4,,2,Channel_C,Area_A
R43144,21,50723.28,72,663.61,10.12,44.8,0.41,0.1,53.46,3,Channel_C,Area_B
R00328,56,513.58,1,6.3,0.0,163.94,0.38,,99.23,2,Channel_A,Area_C
R36291,57,237.66,1,868.2,0.09,225.38,0.42,0.12,15.44,0,Channel_C,Area_A
R32008,69,0.0,1,183.42,0.0,189.18,0.53,0.08,97.53,2,Channel_A,Area_A
R39576,52,91239.38,72,748.3,9.04,68.2,0.26,0.32,52.27,1,Channel_C,Area_A
R21848,21,94.73,1,11.37,0.01,107.4,0.7,0.11,127.64,1,Channel_C,Area_C
R02514,70,0.0,1,2.73,0.03,186.53,0.65,0.24,0.0,,Channel_A,Area_B
R37266,46,,42,11.21,0.44,71.44,0.18,0.3,50.1,1,Channel_C,Area_C
R02256,43,5824.38,37,0.0,0.93,23.17,0.35,0.11,,2,Channel_C,Area_A
R31703,32,16.54,1,46.94,0.04,131.76,0.63,0.11,176.79,4,Channel_C,Area_C
R39256,54,151016.65,72,999.09,28.82,0.0,0.0,0.09,112.27,1,Channel_A,Area_A
R33502,68,,72,453.38,9.48,0.0,0.06,0.12,109.26,3,Channel_A,Area_B
R09894,30,906.21,1,78.46,0.0,215.02,0.77,0.14,73.11,1,Channel_A,Area_B
R13812,26,158854.37,72,1127.24,22.47,0.0,0.19,0.22,42.07,0,Channel_C,Area_A
R41017,62,99092.44,72,784.79,26.12,0.15,0.0,,126.26,0,Channel_C,Area_B
R33729,30,87985.86,1,0.0,0.0,62.75,0.16,0.12,66.24,3,Channel_A,Area_B
R20483,62,88375.68,72,640.22,11.3,17.99,0.2,0.01,40.87,4,Channel_C,Area_C
R22467,60,2040.41,45,509.09,0.08,232.44,0.37,0.29,90.13,1,Channel_C,Area_A
R25997,58,130848.18,72,1069.82,24.68,0.16,0.0,0.0,70.48,1,Channel_A,Area_B
R37347,27,730.69,1,6.42,0.13,169.76,0.5,0.14,92.57,0,Channel_A,Area_B
R35093,52,55181.68,15,91.03,3.02,53.04,0.49,0.15,44.64,5,Channel_C,Area_A
R44763,18,10023.0,15,0.0,0.29,28.63,0.36,0.19,82.79,1,Channel_A,Area_B
R11513,36,801.47,1,7.04,0.0,141.24,0.28,0.27,10.38,4,Channel_A,Area_A
R20595,35,15934.92,19,0.0,6.41,17.77,0.53,0.16,110.95,1,Channel_B,Area_A
R11679,48,48656.0,30,5.61,1.79,20.33,0.2,0.17,43.94,,Channel_B,Area_B
R23620,31,12132.45,1,263.34,3.72,69.59,0.27,0.13,84.89,1,Channel_A,Area_A
R45763,38,379.99,1,0.0,0.0,68.97,0.6,0.12,32.21,2,Channel_A,Area_B
R29441,46,48895.9,71,461.79,21.52,1.66,0.0,0.08,92.94,1,Channel_C,Area_C
R02887,58,161272.64,72,758.6,12.62,0.0,0.04,0.0,46.71,1,Channel_A,Area_A
R40639,43,6118.64,1,3.73,4.47,8.85,0.49,0.09,22.13,0,Channel_A,Area_A
R46000,51,112390.16,72,1006.03,17.97,0.0,0.07,0.04,34.52,0,Channel_C,Area_B
R32739,33,114606.54,72,320.79,15.2,0.0,0.0,0.11,79.19,2,Channel_C,Area_A
R15992,18,2685.22,1,0.0,1.17,58.77,,0.07,0.0,2,Channel_A,Area_C
R22537,26,67870.18,1,3.61,4.85,35.04,,0.05,72.19,0,Channel_A,Area_A
R43546,36,16616.46,1,226.78,7.61,41.31,0.33,0.05,66.54,,Channel_A,Area_A
R12529,57,,72,1138.18,22.94,0.0,0.18,0.03,127.12,,Channel_B,Area_A
R08618,27,10885.5,1,18.03,7.25,33.59,0.27,0.28,138.39,0,Channel_C,Area_B
R22714,62,246.69,1,0.0,0.0,191.1,0.33,0.11,,0,Channel_A,Area_A
R05539,66,91382.32,72,,12.55,6.32,0.12,0.31,92.53,0,Channel_A,Area_A
R45047,48,18656.73,1,0.0,,38.57,,0.14,17.25,0,Channel_A,Area_C
R05529,60,144.25,1,0.0,0.12,148.94,0.42,0.19,25.79,0,Channel_C,Area_B
R01069,26,0.0,1,0.0,0.14,97.81,0.53,,18.64,1,Channel_B,Area_A
R49099,40,414.74,1,0.0,0.0,326.18,0.32,,0.0,1,Channel_A,Area_B
R34904,70,77616.0,72,501.83,10.04,17.05,0.32,0.48,96.04,3,Channel_B,Area_A
R12343,47,0.0,1,5.81,0.06,133.82,0.29,0.18,8.17,2,Channel_A,Area_C
R33572,39,,8,286.38,1.68,89.69,0.19,0.23,28.25,0,Channel_A,Area_A
R46691,58,,7,230.24,2.44,69.78,0.24,0.17,98.17,2,Channel_C,Area_A
R19331,55,0.0,1,3.48,0.0,98.18,0.43,0.31,45.54,2,Channel_A,Area_B
R34920,45,47.64,1,0.0,0.0,98.1,0.37,0.25,0.15,2,Channel_A,Area_B
R02772,58,,1,0.37,0.0,127.09,0.49,0.54,0.0,2,Channel_A,Area_A
R05594,33,0.0,36,75.41,0.0,72.13,0.09,0.15,89.43,0,Channel_A,Area_B
R11386,25,0.0,1,2.77,0.11,111.38,0.3,0.11,5.02,0,Channel_A,Area_B
R11156,21,90351.0,71,497.45,14.34,3.71,0.31,0.06,99.78,0,Channel_A,Area_A
R26288,61,9366.59,14,0.0,4.91,27.82,0.64,0.07,94.7,3,Channel_A,Area_C
R49344,60,55109.33,1,,13.31,35.47,0.42,0.09,104.99,0,Channel_A,Area_A
R00339,48,64826.06,33,371.79,0.0,162.19,0.41,0.15,129.66,0,Channel_B,Area_A
R07344,41,0.0,1,0.53,0.0,218.38,0.52,0.41,102.76,1,Channel_A,Area_A
R01606,33,0.0,1,0.0,0.09,78.45,0.48,0.23,44.64,2,Channel_C,Area_C
R14187,41,487.66,1,3.2,0.0,83.46,0.26,0.05,54.14,4,Channel_A,Area_C
R13004,46,114389.49,72,982.88,19.45,0.4,0.04,0.0,65.05,2,Channel_A,Area_A
R38868,22,,72,466.54,9.99,3.52,0.13,0.08,74.68,1,Channel_C,Area_A
R12214,25,84129.35,1,82.58,1.73,72.23,0.77,0.14,62.78,2,Channel_B,Area_A
R05390,28,201834.14,72,927.64,22.42,0.14,0.2,0.11,103.01,0,Channel_B,Area_A
R02038,47,0.0,1,0.0,0.0,187.37,0.44,0.15,85.04,1,Channel_B,Area_A
R00916,63,23414.29,1,133.12,1.83,60.28,0.11,0.05,115.13,2,Channel_A,Area_A
R44816,31,120892.8,72,1499.87,15.93,90.47,0.0,0.08,81.44,3,Channel_A,Area_A
R12463,23,46532.55,44,100.42,0.22,86.67,0.27,0.14,95.85,1,Channel_A,Area_C
R28393,57,9655.7,53,187.08,0.09,105.32,0.21,0.12,110.83,1,Channel_C,Area_A
R20325,23,15606.3,19,145.39,0.07,95.15,0.64,0.15,65.55,1,Channel_A,Area_A
R38068,52,105625.8,72,1107.72,,0.0,0.0,0.0,84.56,2,Channel_C,Area_A
R35657,34,0.0,1,,0.22,104.3,0.33,0.12,84.17,1,Channel_C,Area_B
R31847,31,26218.64,46,359.21,0.07,193.47,0.22,0.04,160.77,3,Channel_A,Area_B
R42572,18,94962.74,72,1174.12,17.7,18.11,0.14,0.01,96.44,1,Channel_C,Area_A
R07987,63,0.0,1,7.7,0.02,278.35,0.16,0.06,11.05,2,Channel_B,Area_C
R36691,19,21205.72,37,214.57,2.21,63.24,0.14,0.08,60.67,0,Channel_A,Area_A
R48039,32,90939.37,15,235.03,4.56,74.08,0.41,0.05,95.87,3,Channel_B,Area_C
R18710,67,942.35,1,0.0,0.05,318.03,0.69,0.4,90.8,0,Channel_B,Area_A
R14955,56,115317.55,72,889.33,22.7,1.01,0.19,0.01,184.39,1,Channel_A,Area_A
R33688,22,0.0,1,,4.87,81.77,0.78,0.11,100.93,3,Channel_A,Area_C
R04689,55,75857.75,1,,5.58,44.44,0.24,0.07,20.04,0,Channel_B,Area_A
R01443,55,109.91,1,1.83,0.0,197.72,0.31,0.42,42.13,2,Channel_C,Area_C
R07345,22,175301.35,72,1086.25,20.95,0.21,0.05,0.25,61.42,2,Channel_A,Area_C
R48659,34,0.0,1,2.16,0.14,97.7,0.73,0.21,5.9,2,Channel_B,Area_A
R23036,46,40614.17,71,531.41,15.16,3.6,0.11,0.22,,2,Channel_A,Area_A
R29393,31,383.46,1,97.12,0.22,232.74,,0.08,3.0,1,Channel_C,Area_A
R28967,46,147.54,1,1.28,0.0,89.68,0.52,0.08,0.0,3,Channel_C,Area_B
R01871,45,,72,711.02,9.38,45.33,0.16,0.03,,1,Channel_B,Area_A
R37331,64,115496.64,72,,26.0,21.09,0.08,0.04,40.17,1,Channel_C,Area_A
R44037,63,136842.81,58,419.11,1.4,144.85,0.51,0.08,39.91,0,Channel_A,Area_A
R04455,62,69367.7,72,403.93,,0.05,0.28,0.29,147.15,1,Channel_A,Area_B
R21592,41,78703.59,72,518.08,10.42,24.88,0.45,0.16,158.92,2,Channel_A,Area_A
R05293,46,33724.05,2,50.86,2.4,38.58,0.37,0.27,64.83,0,Channel_B,Area_B
R02638,41,469.91,1,181.61,3.59,111.16,0.56,0.45,68.74,0,Channel_A,Area_A
R17104,61,105646.08,72,817.92,16.94,0.0,0.22,,121.32,1,Channel_B,Area_B
R04998,44,450.36,1,9.95,0.03,156.41,0.6,0.03,112.66,1,Channel_A,Area_A
R05997,64,639.86,51,220.9,2.34,85.61,0.14,0.08,75.95,0,Channel_C,Area_B
R10480,49,6828.2,1,0.0,0.01,147.72,0.57,0.35,2.16,1,Channel_A,Area_B
R38509,30,41189.49,1,21.8,1.17,48.61,0.41,0.1,34.29,2,Channel_A,Area_A
R15894,22,132471.23,72,1167.4,20.52,12.33,0.0,0.37,184.22,,Channel_C,Area_A
R14483,49,376.67,1,0.0,0.04,132.08,,0.2,0.01,3,Channel_A,Area_A
R12872,49,7770.45,55,188.68,0.0,148.12,0.15,0.26,33.88,1,Channel_A,Area_A
R46963,57,73288.31,72,351.15,12.25,0.15,0.13,0.1,107.75,1,Channel_C,Area_A
R44602,55,24970.17,26,293.52,0.93,117.68,0.22,,12.71,0,Channel_C,Area_B
R13999,49,22218.64,47,299.37,0.77,130.81,0.26,0.11,21.7,0,Channel_C,Area_A
R33851,69,0.0,1,2.7,0.15,205.18,0.48,0.1,46.93,1,Channel_C,Area_C
R08257,50,42354.97,1,374.81,4.04,83.24,0.3,0.35,122.42,0,Channel_A,Area_B
R24940,41,78938.96,28,381.06,1.88,114.65,0.1,,10.34,0,Channel_C,Area_C
R17146,36,32994.9,46,128.32,1.27,76.73,0.52,0.13,30.9,1,Channel_A,Area_B
R27359,69,0.0,1,0.0,0.0,86.07,0.3,0.51,0.0,1,Channel_C,Area_A
R41333,42,1069.95,1,0.0,0.09,359.06,0.53,0.07,32.93,5,Channel_A,Area_A
R03060,39,855.37,1,798.15,0.0,251.84,0.41,0.07,53.34,1,Channel_A,Area_A
R26891,50,0.0,1,0.0,0.02,204.92,0.23,0.1,,1,Channel_A,Area_C
R35152,64,41868.4,12,222.29,6.91,42.8,0.41,0.4,60.59,1,Channel_B,Area_C
R15095,40,19581.77,31,0.0,1.19,47.72,0.54,0.13,31.31,1,Channel_A,Area_A
R14732,64,,1,0.0,0.02,118.35,0.31,0.06,,3,Channel_C,Area_A
R44467,70,128335.02,72,1127.77,21.12,1.13,0.27,0.29,88.09,2,Channel_A,Area_A
R06085,57,93013.86,72,583.44,13.22,0.0,0.13,0.0,54.23,0,Channel_C,Area_A
R16497,20,72863.63,72,593.92,5.33,244.7,0.18,0.0,90.85,1,Channel_A,Area_A
R10891,68,0.0,1,0.33,0.1,182.4,0.62,0.17,46.09,0,Channel_A,Area_A
R30346,32,19969.3,14,1.97,1.92,21.14,0.45,0.27,63.14,0,Channel_C,Area_B
R38663,58,116101.99,72,1171.31,15.89,40.89,0.05,0.12,49.35,2,Channel_A,Area_A
R26133,33,241.9,1,11.13,0.0,188.02,0.38,0.45,19.58,0,Channel_A,Area_A
R22201,44,22527.62,20,,4.61,20.29,0.27,0.15,127.43,0,Channel_C,Area_B
R37443,59,0.0,1,0.0,,179.6,0.52,0.13,51.71,5,Channel_A,Area_C
R35205,44,0.0,1,3.59,0.0,152.97,0.35,0.12,83.26,2,Channel_A,Area_A
R43701,20,55603.88,59,398.21,9.74,0.0,0.09,0.16,,3,Channel_C,Area_B
R36245,32,138062.0,72,,15.25,67.34,0.17,0.15,78.76,1,Channel_A,Area_B
R21056,28,31447.84,51,355.9,0.06,268.95,0.43,,98.31,3,Channel_A,Area_A
R25633,70,816.88,1,0.0,0.01,148.49,0.38,0.12,10.4,1,Channel_A,Area_A
R49381,44,50330.13,72,363.38,10.33,4.53,0.0,0.01,31.46,2,Channel_C,Area_C
R36117,60,0.0,1,435.59,0.0,619.29,0.48,0.3,,0,Channel_B,Area_A
R06681,64,235281.79,72,750.24,,82.18,0.29,0.09,26.64,1,Channel_C,Area_B
R32938,70,1108.59,1,0.0,0.0,163.06,0.8,0.1,83.48,1,Channel_A,Area_C
R25914,34,,1,130.92,0.0,235.35,0.45,0.16,0.0,1,Channel_A,Area_B
R46237,49,89294.98,72,857.38,9.27,85.87,0.44,0.19,52.28,1,Channel_A,Area_A
R33842,20,671.11,1,0.43,0.05,241.16,0.56,0.38,4.89,1,Channel_B,Area_C
R37693,49,0.0,1,0.0,,124.59,0.22,0.21,18.53,2,Channel_A,Area_B
R43140,68,11948.91,1,0.0,0.16,227.08,0.39,0.34,13.26,2,Channel_C,Area_A
R21662,41,0.0,1,0.0,0.0,151.89,0.54,0.22,,0,Channel_A,Area_C
R17561,58,0.0,1,0.0,0.0,89.62,0.92,,,3,Channel_A,Area_B
R17531,24,0.0,1,2.97,0.03,189.13,0.24,0.07,14.31,1,Channel_A,Area_A
R14093,33,50060.06,49,46.84,0.0,72.43,,0.09,114.17,1,Channel_A,Area_A
R13834,25,503.28,1,0.09,0.0,119.47,0.87,0.2,22.24,0,Channel_A,Area_B
R06331,54,135699.39,72,276.48,17.18,0.03,0.0,0.26,68.49,1,Channel_B,Area_A
R10934,57,172049.42,72,897.9,22.74,2.36,0.22,0.0,116.51,1,Channel_A,Area_B
R01292,46,12608.61,1,135.77,,228.85,0.84,0.21,182.77,1,Channel_C,Area_C
R08542,34,36309.99,42,2.76,0.17,37.54,0.32,0.38,31.63,0,Channel_C,Area_B
R26345,55,121029.34,72,733.13,10.13,36.27,,0.0,35.88,0,Channel_B,Area_A
R26729,64,70488.68,72,298.11,,0.0,0.32,0.06,65.53,0,Channel_A,Area_C
R02433,42,58547.22,11,281.46,8.35,54.78,0.18,0.0,21.56,,Channel_B,Area_A
R38345,58,85231.38,72,593.56,10.83,19.75,0.07,0.07,127.51,0,Channel_A,Area_A
R25137,30,187534.57,72,1211.97,21.64,5.91,0.0,0.2,54.0,2,Channel_C,Area_B
R49789,27,452.06,1,104.17,0.0,197.44,0.6,0.04,,1,Channel_A,Area_A
R45668,56,1425.34,1,0.45,0.21,120.81,0.29,0.17,2.35,0,Channel_B,Area_B
R19225,36,76429.21,72,544.54,9.75,33.52,0.0,0.09,46.9,3,Channel_B,Area_C
R13006,27,771.07,1,0.0,0.06,121.27,0.48,0.25,96.39,3,Channel_C,Area_C
R01274,37,81302.84,72,648.42,8.8,63.47,0.41,0.21,59.59,2,Channel_A,Area_A
R15072,35,86158.21,2,284.67,7.57,55.14,0.12,0.18,114.08,0,Channel_A,Area_C
R00068,20,78.36,1,0.0,0.14,120.01,0.28,0.04,90.38,1,Channel_B,Area_B
R46173,62,3684.85,37,224.66,0.71,97.35,0.47,0.11,91.21,1,Channel_A,Area_A
R00035,34,64186.92,72,339.62,11.42,1.76,0.52,0.03,93.17,1,Channel_C,Area_A
R09522,69,19446.28,20,101.19,1.35,61.77,0.21,0.3,84.19,2,Channel_A,Area_B
R32040,70,70461.46,72,569.18,13.32,6.73,0.0,0.0,34.29,0,Channel_C,Area_C
R47777,31,21796.02,1,33.37,0.08,273.73,0.53,0.11,10.92,0,Channel_C,Area_B
R06088,67,27489.35,17,447.51,11.99,47.74,,0.33,56.17,2,Channel_B,Area_A
R40585,34,7027.67,1,45.19,1.67,35.34,0.14,0.35,54.89,1,Channel_A,Area_A
R07435,26,319.95,33,206.45,0.01,156.79,0.44,0.04,78.34,0,Channel_A,Area_A
R12581,36,26325.99,56,113.49,0.69,90.45,0.36,0.03,71.28,3,Channel_A,Area_A
R18397,37,120672.47,57,417.33,16.85,0.61,0.28,0.17,157.98,1,Channel_C,Area_B
R05631,53,31645.99,1,222.67,0.0,185.46,0.3,0.27,83.01,0,Channel_A,Area_C
R38455,58,63433.64,72,984.24,12.21,27.3,0.6,0.17,,1,Channel_C,Area_B
R19400,49,47.85,1,0.0,0.13,199.44,0.23,0.13,29.23,0,Channel_A,Area_A
R28139,37,1093.76,1,0.0,,202.95,0.38,0.19,11.14,2,Channel_C,Area_B
R29825,48,3968.89,8,108.69,6.51,22.5,0.34,0.28,35.18,1,Channel_A,Area_A
R40926,67,0.0,1,0.0,0.0,126.13,0.38,0.3,69.82,2,Channel_B,Area_A
R05452,36,0.0,1,0.0,0.01,55.84,0.43,0.24,,3,Channel_A,Area_B
R45519,19,71487.35,72,457.15,9.68,6.53,0.08,0.0,51.48,3,Channel_A,Area_A
R23915,52,45637.6,72,732.19,,44.05,0.63,0.0,79.43,0,Channel_B,Area_A
R45441,39,31744.1,1,0.0,0.0,105.65,0.79,0.44,17.47,0,Channel_A,Area_A
R01085,41,82587.52,72,445.58,8.59,20.34,,0.16,59.57,3,Channel_C,Area_B
R11480,54,82109.06,72,336.74,12.92,0.0,0.22,0.3,140.55,0,Channel_A,Area_A
R25726,36,0.0,1,0.0,0.18,272.37,0.84,0.11,105.53,3,Channel_A,Area_B
R38349,32,1508.9,1,0.0,0.0,160.86,0.41,0.19,16.59,1,Channel_B,Area_A
R10574,55,60887.13,72,419.25,13.66,1.03,0.06,0.22,101.49,0,Channel_C,Area_C
R23472,56,581.34,1,0.0,0.01,132.2,0.44,0.26,12.78,4,Channel_B,Area_A
R12877,34,7559.99,52,142.03,0.37,89.64,0.34,0.0,80.44,1,Channel_B,Area_A
R30532,62,43408.51,72,517.4,11.32,7.1,0.21,0.03,40.55,3,Channel_A,Area_A
R21233,44,8279.25,2,146.7,4.86,45.78,0.19,0.05,95.29,1,Channel_A,Area_C
R26210,27,13049.85,19,201.98,1.47,90.8,0.62,0.14,19.7,1,Channel_C,Area_A
R10397,19,23.0,1,3.78,0.0,187.92,0.67,0.56,21.67,2,Channel_C,Area_B
R28369,68,,22,0.58,1.59,35.15,0.2,0.18,46.53,2,Channel_B,Area_C
R36596,20,147780.73,72,390.85,14.89,0.0,0.47,0.0,73.61,1,Channel_A,Area_C
R49962,36,14791.39,1,2.45,0.0,80.74,0.71,0.16,0.0,2,Channel_A,Area_C
R49199,60,0.0,1,0.0,0.01,204.82,0.6,0.39,8.75,3,Channel_A,Area_C
R40672,27,92215.62,60,0.0,1.07,38.0,0.22,0.58,20.93,1,Channel_B,Area_A
R16007,55,0.0,1,0.0,0.06,129.51,,0.09,27.27,1,Channel_A,Area_C
R38393,24,0.0,1,0.0,0.06,154.82,0.51,0.18,26.01,2,Channel_C,Area_A
R25581,35,1791.99,36,496.43,2.94,115.59,0.31,0.05,34.23,0,Channel_A,Area_A
R38285,36,0.0,1,0.95,0.0,136.78,0.23,0.07,24.07,1,Channel_C,Area_A
R42862,66,0.0,1,0.0,0.0,91.31,0.4,0.15,0.74,,Channel_C,Area_B
R13847,44,0.0,1,0.0,0.04,76.84,0.39,0.5,4.44,0,Channel_C,Area_A
R01636,51,35839.87,32,481.16,1.01,187.79,0.48,0.13,,3,Channel_A,Area_A
R05116,22,63988.5,72,299.41,11.82,0.29,0.22,0.04,59.26,1,Channel_C,Area_A
R28467,35,6747.38,1,5.56,0.39,74.11,0.21,0.3,14.29,3,Channel_A,Area_A
R33443,41,144657.14,72,1015.45,22.26,0.0,0.0,0.05,68.43,1,Channel_B,Area_A
R04663,62,277329.34,72,1041.1,20.27,1.19,0.19,0.1,58.19,2,Channel_A,Area_A
R47085,44,,72,1234.51,15.79,59.12,0.0,0.23,100.59,1,Channel_A,Area_B
R37218,33,81020.73,72,314.63,12.2,0.33,0.19,0.07,58.75,2,Channel_C,Area_B
R44096,26,,1,4.71,0.0,96.45,0.63,0.32,21.54,0,Channel_B,Area_A
R17828,34,302.77,1,0.0,0.16,137.93,0.5,0.2,44.63,2,Channel_B,Area_A
R01309,46,91632.2,72,472.21,13.97,9.68,0.13,0.13,55.71,2,Channel_A,Area_B
R11231,22,106243.17,72,1057.19,16.11,25.14,0.28,0.09,42.05,1,Channel_B,Area_C
R10801,30,11660.62,1,192.18,3.27,61.6,0.32,0.3,,1,Channel_A,Area_C
R03267,28,2545.93,2,212.8,8.69,47.55,0.36,0.35,60.96,0,Channel_B,Area_A
R15003,53,,1,3.55,0.3,158.27,0.37,0.1,12.81,4,Channel_C,Area_C
R06532,62,91646.19,3,62.65,3.37,45.2,0.34,0.2,53.54,0,Channel_A,Area_A
R17522,22,28906.9,9,137.0,0.47,60.66,0.44,0.09,64.48,2,Channel_C,Area_C
R44035,36,80.35,1,0.0,0.0,84.88,0.55,0.21,32.52,3,Channel_A,Area_A
R29380,51,0.0,1,2.88,0.04,155.13,0.53,,5.94,0,Channel_B,Area_A
R37222,36,0.0,1,0.0,0.0,66.4,0.3,0.15,15.19,1,Channel_A,Area_C
R18460,61,71913.45,72,300.13,10.01,1.99,0.37,0.27,68.97,0,Channel_B,Area_C
R26790,60,76147.05,72,663.97,8.61,55.28,0.33,0.1,48.17,3,Channel_C,Area_B
R22365,47,0.0,1,0.0,0.0,174.55,0.36,0.34,111.24,2,Channel_C,Area_A
R05489,31,0.0,1,0.0,0.0,172.5,0.64,0.18,65.17,2,Channel_C,Area_B
R40219,55,221631.59,72,1581.37,16.74,93.31,0.18,0.04,47.73,1,Channel_C,Area_A
R31704,38,,27,79.99,0.08,92.62,0.19,,71.8,0,Channel_B,Area_A
R13726,30,74187.83,20,3.18,0.1,44.72,0.66,0.06,30.39,3,Channel_A,Area_A
R45117,28,0.0,1,7.31,0.0,159.74,0.59,0.13,45.66,4,Channel_C,Area_A
R28871,37,434.2,1,0.29,0.0,72.68,0.34,0.17,123.32,0,Channel_A,Area_C
R08393,56,43144.66,56,108.99,1.73,57.24,0.27,0.13,15.83,0,Channel_A,Area_A
R24843,39,66610.52,17,33.3,1.29,47.25,0.22,0.09,,0,Channel_A,Area_B
R31928,19,130678.2,72,567.62,13.0,0.0,0.26,0.37,80.82,0,Channel_C,Area_A
R19790,70,103234.41,72,,16.43,77.11,0.5,0.13,,0,Channel_B,Area_A
R10957,33,0.0,1,3.61,0.0,179.48,0.28,0.14,45.2,4,Channel_B,Area_A
R35417,33,95.33,1,0.0,0.14,101.78,0.61,0.22,22.18,2,Channel_B,Area_C
R29066,33,43471.31,11,327.74,4.11,71.48,0.54,0.02,89.36,0,Channel_B,Area_A
R32360,47,123113.04,72,949.11,19.15,0.57,0.3,0.0,111.15,,Channel_B,Area_A
R03113,50,37694.6,72,310.58,9.96,0.0,0.0,0.12,30.47,0,Channel_C,Area_B
R22940,66,0.0,1,0.0,0.06,181.79,,0.4,8.11,1,Channel_B,Area_B
R43245,43,36542.5,61,37.05,4.94,43.41,0.28,,37.21,3,Channel_A,Area_C
R42937,44,0.0,1,1.72,0.0,138.57,0.49,0.13,10.6,2,Channel_A,Area_A
R32483,46,,1,0.0,0.0,260.22,0.62,0.17,45.35,1,Channel_A,Area_A
R46350,32,90681.3,72,297.52,15.85,0.0,0.16,,,2,Channel_A,Area_A
R03833,53,16809.49,9,134.13,0.0,119.22,0.27,,57.15,1,Channel_C,Area_A
R40756,20,1029.36,1,0.0,0.0,226.63,0.4,0.07,64.71,2,Channel_B,Area_C
R38183,30,,1,2.15,0.0,108.52,0.28,0.5,168.54,1,Channel_A,Area_B
R42690,33,,64,364.08,7.59,25.53,0.01,0.17,72.12,0,Channel_B,Area_A
R08469,63,0.0,1,0.0,0.17,85.13,0.36,0.18,87.67,2,Channel_B,Area_B
R29899,57,,1,0.0,0.0,195.85,0.38,0.45,74.04,2,Channel_A,Area_B
R05023,50,0.0,6,380.98,7.09,54.52,0.17,0.04,48.2,1,Channel_C,Area_A
R15124,38,0.0,1,0.0,0.0,118.56,0.49,0.21,22.41,,Channel_A,Area_A
R17407,39,0.0,1,62.4,0.08,241.52,0.55,,18.89,2,Channel_A,Area_A
R46143,60,25881.59,9,140.66,1.37,76.21,,0.18,97.28,0,Channel_A,Area_A
R29158,25,53523.31,17,238.24,1.45,89.89,0.31,0.12,100.68,0,Channel_C,Area_A
R11413,50,71639.95,72,,13.37,0.37,0.14,0.12,,1,Channel_A,Area_C
R29199,54,,72,467.3,12.16,8.07,0.24,0.04,82.46,2,Channel_B,Area_C
R37692,64,53263.52,72,615.74,9.48,50.49,0.27,0.0,34.46,1,Channel_B,Area_A
R27770,25,64650.69,72,662.49,10.07,37.71,0.29,0.17,86.99,1,Channel_C,Area_A
R31288,33,,72,562.89,10.43,19.06,0.0,,116.51,,Channel_C,Area_A
R01413,52,48473.97,68,495.79,26.49,0.82,0.34,0.0,45.61,4,Channel_C,Area_C
R15901,68,0.0,1,0.0,0.0,175.43,0.63,0.28,28.74,0,Channel_A,Area_A
R41450,49,111040.26,72,2054.21,17.79,119.92,0.09,0.01,81.72,2,Channel_C,Area_C
R12691,55,19925.7,1,101.31,2.46,46.54,0.26,0.18,99.72,3,Channel_B,Area_B
R31028,63,0.0,1,0.0,0.11,148.5,0.46,0.16,0.5,2,Channel_A,Area_B
R27293,30,105278.22,21,106.09,2.59,47.9,0.42,0.26,77.27,3,Channel_A,Area_C
R23044,22,102062.0,72,1176.64,16.86,35.76,0.32,0.07,48.46,,Channel_A,Area_A
R16153,65,0.0,1,0.0,0.0,141.77,0.37,0.21,60.62,2,Channel_A,Area_B
R32186,30,0.0,1,287.27,3.25,76.38,0.2,,15.75,0,Channel_C,Area_B
R18328,35,823.71,9,149.4,0.0,129.13,0.17,0.11,106.65,3,Channel_A,Area_B
R15959,26,0.0,1,0.0,0.0,114.52,0.56,0.07,26.29,1,Channel_A,Area_B
R28332,60,53522.86,60,1.8,0.08,50.03,0.46,0.09,153.37,0,Channel_A,Area_A
R28750,36,,72,1036.78,21.79,0.8,0.06,0.01,43.33,1,Channel_C,Area_B
R13550,40,22182.32,1,92.35,8.69,38.04,,0.04,50.27,2,Channel_C,Area_A
R26308,28,23316.78,1,2.28,0.0,97.77,0.33,,0.16,2,Channel_A,Area_C
R10185,32,0.0,1,3.43,0.15,83.69,,0.29,,3,Channel_A,Area_A
R24962,48,141432.56,72,1303.64,16.74,44.33,0.0,0.11,105.7,0,Channel_A,Area_A
R21681,63,24196.55,26,188.29,,50.28,0.06,0.09,53.28,2,Channel_B,Area_B
R38054,65,0.0,1,0.0,0.13,154.52,0.58,,36.65,3,Channel_A,Area_C
R00199,66,225.98,1,0.0,0.03,99.21,0.21,0.13,39.74,1,Channel_C,Area_C
R43037,45,400.68,1,0.0,0.03,221.93,0.26,,24.38,2,Channel_B,Area_A
R18731,45,8345.62,1,16.72,2.4,52.43,0.2,0.35,157.86,0,Channel_A,Area_A
R25545,44,2394.27,1,3.89,0.08,307.8,0.61,0.13,34.13,5,Channel_A,Area_A
R04414,23,4285.94,11,56.43,2.79,51.67,0.15,0.35,39.84,0,Channel_A,Area_A
R37843,29,13505.01,1,8.66,0.0,157.54,0.38,0.14,43.13,0,Channel_C,Area_B
